Name,Cluster,Latitude,Longitude
OxMl_jn8qNvV-pU2Dxj52w,36,40.110967,-88.242733
-R6Vfo22FX33o64OLq6Ktg,39,40.116052,-88.233756
_rrWTz0W1K_eWafh-8r3fA,42,40.1138182155,-88.2076892527
DB5rZ9spvyhBJsqOwckncw,36,40.112114,-88.241292
-0GkcDiIgVm0XzDZC8RFOg,42,40.1122506,-88.2080393
iXln01g2XKREUhI0mhR-Xw,36,40.1105019,-88.241184
caK31Iq3TClNCRB9WH9lhQ,36,40.1097873,-88.2404819
6AHfkdtpx7yLOFetI38gHQ,39,40.110524,-88.23669
QttMncfha9jK3XLp8MZjAw,39,40.1104696,-88.2331177
PDkUYSaYK6pAJysaOe2FnQ,36,40.1157886,-88.241201
TJszLPPnOPWTJrYqniDDlg,39,40.1105073,-88.2314522
cT9uP_Lr5bz6jhIqZPlLcw,36,40.1100704,-88.2395746
sBw0ZgTVeRgdOA3sfGIcwQ,36,40.1183795242,-88.243701401
k0kNhfkp1GrYE15YDApKMg,39,40.110554,-88.232373
_wsqtFg_yKW8Uwml__yllQ,42,40.111959,-88.208652
D7ENnY6AzeFxlhNfnVH54w,39,40.110039,-88.229804
Ojo0aGQ_aYSz88VRIda1Kw,36,40.1111456,-88.2441689
OkNhrobZUhpybZlpHAA_bQ,39,40.1099251,-88.2314617
0mLadTWoDC6K_NFLMe29mA,36,40.109988,-88.240506
oIU_awAiDThL0Xz0iGD5TA,42,40.112708,-88.209446
ec1gbPLxYhUYDu_1h4c7dQ,39,40.108761,-88.231538
Y4N8boBcDrlPVUx098ml7A,36,40.116827657,-88.2433574314
j9N_fG1PVCSY-3HY1TRQ5Q,36,40.1097893,-88.2408101
HoPjCb6u4pIIsdYIQXpi_A,39,40.11013,-88.227321
yKgH-EgKNuCFpZp33SNxlA,42,40.116802,-88.207854
_Oy_MV8Zcl3AhEyY0_Sgfw,42,40.1119575,-88.212909
ygZ1n-RjzZibC80NLgHauw,36,40.1158806,-88.2389765
HyxmWAqPss6HdR90m7Y7mg,42,40.1122318621,-88.2065666725
