Name,Cluster,Latitude,Longitude
Ok3ad9OixgYxB1lEgk_9JA,4,40.1385803,-88.1961686
OxMl_jn8qNvV-pU2Dxj52w,3,40.110967,-88.242733
-R6Vfo22FX33o64OLq6Ktg,0,40.116052,-88.233756
iUT5YfK0CzfPHuFbJuO_3A,4,40.122183,-88.201408
BSkvsCY2RFMcmx1TfBf5oQ,4,40.129272,-88.1975314
_rrWTz0W1K_eWafh-8r3fA,1,40.1138182155,-88.2076892527
DB5rZ9spvyhBJsqOwckncw,3,40.112114,-88.241292
-0GkcDiIgVm0XzDZC8RFOg,1,40.1122506,-88.2080393
iXln01g2XKREUhI0mhR-Xw,3,40.1105019,-88.241184
YPLuTiEIrkVGxfxzuq54FA,2,40.106822678,-88.2217281018
caK31Iq3TClNCRB9WH9lhQ,3,40.1097873,-88.2404819
6AHfkdtpx7yLOFetI38gHQ,3,40.110524,-88.23669
9OWwP090rPttZOqowK4tjQ,3,40.106749,-88.243715
PDkUYSaYK6pAJysaOe2FnQ,0,40.1157886,-88.241201
cT9uP_Lr5bz6jhIqZPlLcw,3,40.1100704,-88.2395746
rEZwXREmDpqDigTNdeHt8w,6,40.0918284,-88.1890856
sBw0ZgTVeRgdOA3sfGIcwQ,0,40.1183795242,-88.243701401
_wsqtFg_yKW8Uwml__yllQ,1,40.111959,-88.208652
l6KWHEZMr1AuabPA61wlUw,3,40.1076966669,-88.2436596975
Ojo0aGQ_aYSz88VRIda1Kw,3,40.1111456,-88.2441689
0mLadTWoDC6K_NFLMe29mA,3,40.109988,-88.240506
UcuoAlVyNXeD1Na9M47qZw,5,40.114686,-88.1813252
oIU_awAiDThL0Xz0iGD5TA,1,40.112708,-88.209446
m1Ro6dEz2k6BKG-QMWLOew,2,40.1068632,-88.2218637
UBriZt4m5BzkvNqnCeuGmw,3,40.107102,-88.243891
Y4N8boBcDrlPVUx098ml7A,0,40.116827657,-88.2433574314
j9N_fG1PVCSY-3HY1TRQ5Q,3,40.1097893,-88.2408101
yKgH-EgKNuCFpZp33SNxlA,1,40.116802,-88.207854
_Oy_MV8Zcl3AhEyY0_Sgfw,1,40.1119575,-88.212909
ygZ1n-RjzZibC80NLgHauw,0,40.1158806,-88.2389765
HyxmWAqPss6HdR90m7Y7mg,1,40.1122318621,-88.2065666725
w7EH4zrif6aXR7zdLQ1mIg,1,40.10896,-88.2055674
AEqvyxNHm3YFzArBinr2_Q,1,40.1112417,-88.2071629
mbHfXlcPGQyPKtuh5CJ1Iw,0,40.114132,-88.238369
Rj0EiZoTEHqUo_wt-MTd0g,3,40.1105978,-88.2428884
CcsJm10_5ULE0j41DkcQ6g,0,40.117237,-88.2431919
VjqxGg-jVOmU_--NAYCrQQ,3,40.107102,-88.243891
YeTgTdVi07UhZBv_LBh_kQ,1,40.1105839,-88.2070866
SylIXJBWAZ92eZ-NgShUAQ,0,40.119933,-88.2428274
h1kMWbt6gjkIy4VC8VqVuQ,3,40.105187,-88.243851
1A_4WE4hdpdU3pG6PWUOVw,0,40.116869,-88.242964
p8GMdsCCy-NV_wZuDaU2Jw,0,40.1170558,-88.2432469
ymGJaPobZ_LrH9wQgTjeGQ,0,40.1166102,-88.2412504
